X(E/m),Y(N/m)
330357.943585657223593,4156710.816492730751634
330357.881964767002501,4156710.828852192033082
330357.749660935136490,4156710.842655651737005
330357.617357101407833,4156710.856459117028862
330357.555736209615134,4156710.868818579707295
330357.485279952757992,4156710.881358544342220
330357.414823693921790,4156710.893898509442806
330357.361811487236992,4156710.894981511868536
330357.229507656767964,4156710.908784981817007
330357.167660085076932,4156710.910048485267907
330357.106039194099139,4156710.922407952137291
330357.035582938231528,4156710.934947920031846
330356.973962047719397,4156710.947307389229536
330356.912114473874681,4156710.948570895008743
330356.779810644628014,4156710.962374371476471
330356.647506815788802,4156710.976177851669490
330356.594494609453250,4156710.977260859217495
330356.462417464936152,4156711.002160302363336
330356.400569893652573,4156711.003423811867833
330356.268266063474584,4156711.017227297648787
330356.215480543905869,4156711.029406270012259
330356.153632970526814,4156711.030669782310724
330356.083176716580056,4156711.043209758121520
330356.012720460537821,4156711.055749735794961
330355.827857797616161,4156711.092828162014484
330355.774845591862686,4156711.093911174219102
330355.659985817503184,4156711.096257702447474
330355.589529560180381,4156711.108797685243189
330355.519073307397775,4156711.121337665710598
330355.466061101760715,4156711.122420680243522
330355.342592643690296,4156711.136043678037822
330355.289807125984225,4156711.148222655989230
330355.219350871630013,4156711.160762638784945
330355.157729986996856,4156711.173122120555490
330355.096109100268222,4156711.185481602326035
330355.025426160544157,4156711.186925626825541
330354.928463805292267,4156711.200007120147347
330354.858234237995930,4156711.223643071018159
330354.726157101220451,4156711.248542541638017
330354.655474164173938,4156711.249986567534506
330354.585017911449540,4156711.262526557780802
330354.523397028213367,4156711.274886043276638
330354.399928570957854,4156711.288509055972099
330354.329245631932281,4156711.289953084662557
330354.276460116263479,4156711.302132069133222
330354.214612544456031,4156711.303395595867187
330354.143929607700557,4156711.304839625954628
330354.091370777343400,4156711.328114572912455
330353.959293643827550,4156711.353014057967812
330353.906281439238228,4156711.354097083210945
330353.835825190471951,4156711.366637079045177
330353.712583422835451,4156711.391356062609702
330353.589341658167541,4156711.416075049899518
330353.474708573019598,4156711.429517569486052
330353.351466809399426,4156711.454236559104174
330353.281010561971925,4156711.466776560526341
330353.166150787146762,4156711.469123123213649
330353.051744391734246,4156711.493661612272263
330352.990350200620014,4156711.517117072828114
330352.919667263049632,4156711.518561113625765
330352.805260868917685,4156711.543099605478346
330352.734577931521926,4156711.544543648604304
330352.664121683337726,4156711.557083654683083
330352.611336171277799,4156711.569262650329620
330352.487867722229566,4156711.582885690033436
330352.435082210577093,4156711.595064686611295
330352.382070007151924,4156711.596147721633315
330352.311613759840839,4156711.608687729574740
330352.258828248479404,4156711.620866727083921
330352.197207368211821,4156711.633226230274886
330352.073512230534106,4156711.635753314942122
330351.959105839836411,4156711.660291818901896
330351.853308126330376,4156711.673553857021034
330351.791687246877700,4156711.685913363937289
330351.738675046246499,4156711.686996402218938
330351.668218800332397,4156711.699536416679621
330351.553585720714182,4156711.712978964205831
330351.500800208654255,4156711.725157967302948
330351.438952641445212,4156711.726421514060348
330351.324319562525488,4156711.739864064380527
330351.209686483780388,4156711.753306617960334
330351.156900972360745,4156711.765485622454435
330351.042267894197721,4156711.778928177431226
330350.971584958257154,4156711.780372235924006
330350.901128716184758,4156711.792912255506963
330350.830445780360606,4156711.794356313534081
330350.777660269639455,4156711.806535321753472
330350.636294400435872,4156711.809423442929983
330350.531176766089629,4156711.855973384343088
330350.460720522736665,4156711.868513408116996
330350.337252079974860,4156711.882136481348425
330350.240289739565924,4156711.895218031480908
330350.169833494757768,4156711.907758058048785
330350.099150561902206,4156711.909202123526484
330349.993579545989633,4156711.933560147415847
330349.923349999124184,4156711.957196138333529
330349.861502430983819,4156711.958459697663784
330349.799881555838510,4156711.970819219946861
330349.738033989968244,4156711.972082778811455
330349.685248481575400,4156711.984261794015765
330349.552944674680475,4156711.998065386433154
330349.411805499345064,4156712.012049490585923
330349.288563753245398,4156712.036768541671336
