X(E/m),Y(N/m)
330258.636820174055174,4156629.091824678704143
330258.469853703165427,4156629.139639977831393
330258.284762697410770,4156629.165624562650919
330258.126404876005836,4156629.202163303270936
330257.950149330368731,4156629.227967291139066
330257.791791513503995,4156629.264506037812680
330257.624598237802275,4156629.301225394010544
330257.457631775876507,4156629.349040713626891
330257.290438502968755,4156629.385760075412691
330257.123245233553462,4156629.422479437664151
330256.947216505534016,4156629.459379411302507
330256.788858694257215,4156629.495918177999556
330256.613056782516651,4156629.543914120178670
330256.454698974033818,4156629.580452893394977
330256.296567980898544,4156629.628087632823735
330256.137983363121748,4156629.653530450537801
330255.971016913070343,4156629.701345801819116
330255.803823654481675,4156629.738065192475915
330255.645239039789885,4156629.763508019968867
330255.478045783587731,4156629.800227417144924
330255.310625713318586,4156629.825850856490433
330255.152267916942947,4156629.862389654852450
330254.984621034935117,4156629.876917137298733
330254.808365509787109,4156629.902721193153411
330254.640945445164107,4156629.928344645071775
330254.464463107404299,4156629.943052744027227
330254.287980772438459,4156629.957760849501938
330254.120560707699042,4156629.983384312596172
330253.952913828776218,4156629.997911815065891
330253.785493767762091,4156630.023535285145044
330253.617846889887005,4156630.038062795531005
330253.459035469801165,4156630.052409701980650
330253.309286325355060,4156630.077671966049820
330253.141866264981218,4156630.103295448701829
330252.983281664957758,4156630.128738326486200
330252.815634789702017,4156630.143265853170305
330252.666112464910839,4156630.179624090902507
330252.498692407913040,4156630.205247587058693
330252.322436896851286,4156630.231051695998758
330252.155243658926338,4156630.267771162558347
330251.978988147689961,4156630.293575277552009
330251.802732639480382,4156630.319379397667944
330251.635539405106101,4156630.356098874006420
330251.459283898933791,4156630.381903001572937
330251.292090666946024,4156630.418622483965009
330251.133959711994976,4156630.466257325373590
330250.966766485129483,4156630.502976814284921
330250.799573257274460,4156630.539696308784187
330250.623771393322386,4156630.587692379020154
330250.456578170589637,4156630.624411880038679
330250.289384946925566,4156630.661131383385509
330250.131027181283571,4156630.697670278605074
330249.963833962334320,4156630.734389789868146
330249.796640744782053,4156630.771109303459525
330249.638736624561716,4156630.829840136226267
330249.463388414354995,4156630.900028157513589
330249.305484300828539,4156630.958758994471282
330249.129909274342936,4156631.017851060256362
330248.945498793851584,4156631.077123743481934
330248.778759228298441,4156631.136035203002393
330248.594348754850216,4156631.195307894609869
330248.427609193895478,4156631.254219362977892
330248.252261001674924,4156631.324407411273569
330248.068077358533628,4156631.394776076544076
330247.910400083987042,4156631.464602904859930
330247.832468740758486,4156631.543900170829147
330247.655986443860456,4156631.558608417399228
330247.515526439878158,4156631.605882097966969
330247.349013719998766,4156631.675889551639557
330247.165510561666451,4156631.779546125326306
330246.980419638915919,4156631.805530965328217
330246.822288731229492,4156631.853165888227522
330246.655549194430932,4156631.912077392917126
330246.488809659727849,4156631.970988900400698
330246.322296955040656,4156632.040996375493705
330246.164392882608809,4156632.099727273453027
330245.988817899487913,4156632.158819408155978
330245.822305199981201,4156632.228826892562211
330245.655565676919650,4156632.287738417275250
330245.497888439800590,4156632.357565292622894
330245.331148921395652,4156632.416476824320853
330245.164636234228965,4156632.486484322231263
330244.980225810431875,4156632.545757096260786
330244.804650844074786,4156632.604849255643785
330244.611858627875336,4156632.686494580470026
330244.409777300141286,4156632.746128600556403
330244.199314179131761,4156632.828135170973837
330244.015357427997515,4156632.909599891398102
330243.875577952887397,4156632.990161524154246
330243.708611628273502,4156633.037977127823979
330243.559996703756042,4156633.118719385005534
